verb,frame,relfreq,freqcnt
convolute,AP,0.006479,3
convolute,NONE,0.23326199999999997,108
convolute,NP,0.397409,184
convolute,NP PRT +,0.00216,1
convolute,NP_AP,0.00432,2
convolute,NP_NP,0.062635,29
convolute,NP_NP_SCOMP,0.00216,1
convolute,NP_PP,0.025918,12
convolute,NP_PP_PP,0.00432,2
convolute,NP_SCOMP,0.023758,11
convolute,PP,0.103672,48
convolute,PP_PP,0.00216,1
convolute,PP_SCOMP,0.00216,1
convolute,SCOMP,0.10583100000000001,49
convolute,SINF,0.006479,3
convolute,SING,0.00216,1
convolute,VPBSE,0.00216,1
convolute,VPINF,0.00432,2
convolute,VPING,0.006479,3
convolute,VPING_PP,0.00216,1
fawn,AP,0.018939,5
fawn,NONE,0.31439500000000004,83
fawn,NP,0.21212200000000003,56
fawn,NP_AP,0.011364,3
fawn,NP_NP,0.003788,1
fawn,NP_PP,0.003788,1
fawn,NP_SCOMP,0.007576,2
fawn,PP,0.287879,76
fawn,PP_PP,0.026515,7
fawn,PP_SCOMP,0.018940000000000002,5
fawn,PP_VPINF,0.007576,2
fawn,PP_WHVP,0.003788,1
fawn,SCOMP,0.060606,16
fawn,VPBSE,0.007576,2
fawn,VPINF,0.003788,1
fawn,VPING,0.003788,1
fawn,VPPRT,0.007576,2
foul,AP,0.003311,9
foul,NONE,0.362032,984
foul,NP,0.25607100000000005,696
foul,NP PRT +,0.007358,20
foul,NP_AP,0.004047,11
foul,NP_AP PRT +,0.000368,1
foul,NP_NP,0.050773,138
foul,NP_NP PRT +,0.001472,4
foul,NP_NP_SCOMP,0.000368,1
foul,NP_PP,0.072113,196
foul,NP_PPOF,0.003679,10
foul,NP_SCOMP,0.010302,28
foul,NP_SCOMP PRT +,0.002208,6
foul,NP_WHPP,0.000368,1
foul,PP,0.143856,391
foul,PP_AP,0.000368,1
foul,PP_PP,0.011405,31
foul,PP_SCOMP,0.00184,5
foul,PP_VPINF,0.011773,32
foul,PP_WHPP,0.000368,1
foul,SCOMP,0.037528,102
foul,SINF,0.00184,5
foul,SINF PRT +,0.000368,1
foul,SING,0.001104,3
foul,SING_PP,0.000368,1
foul,VPBSE,0.000736,2
foul,VPINF,0.006255,17
foul,VPING,0.006623,18
foul,VPPRT,0.001104,3
prefix,AP,0.009132,2
prefix,NONE,0.29680399999999996,65
prefix,NP,0.141553,31
prefix,NP_NP,0.045662,10
prefix,NP_PP,0.100455,22
prefix,NP_SCOMP,0.073059,16
prefix,PP,0.063926,14
prefix,PP_PP,0.004566,1
prefix,PP_SCOMP,0.004566,1
prefix,PP_VPINF,0.004566,1
prefix,SCOMP,0.228311,50
prefix,SING,0.004566,1
prefix,VPINF,0.018265,4
prefix,VPING,0.004566,1
forgather,NONE,1.0,4
preface,NONE,0.052288,8
preface,NP,0.24836599999999998,38
preface,NP PRT +,0.039216,6
preface,NP_AP,0.019608,3
preface,NP_NP,0.052288,8
preface,NP_PP,0.39869299999999996,61
preface,NP_PPOF,0.006536,1
preface,NP_PP_PP,0.013072,2
preface,NP_SCOMP,0.013072,2
preface,NP_SCOMP PRT +,0.006536,1
preface,NP_WHPP,0.013072,2
preface,PP,0.045752,7
preface,PP_PP,0.006536,1
preface,PP_VPINF,0.013072,2
preface,PP_WHPP,0.006536,1
preface,SCOMP,0.058824,9
preface,SINF,0.006536,1
underachieve,AP,0.010753,4
underachieve,NONE,0.508064,189
underachieve,NP,0.258064,96
underachieve,NP_AP,0.005376,2
underachieve,NP_NP,0.005376,2
underachieve,NP_PP,0.002688,1
underachieve,NP_SCOMP,0.010752,4
underachieve,PP,0.139785,52
underachieve,PP_PP,0.002688,1
underachieve,SCOMP,0.040323,15
underachieve,SINF,0.008065,3
underachieve,VPING,0.002688,1
underachieve,VPPRT,0.005376,2
shamble,NONE,0.315217,29
shamble,NP,0.054348,5
shamble,NP_NP,0.054348,5
shamble,NP_PP,0.021739,2
shamble,PP,0.5,46
shamble,PP_SCOMP,0.01087,1
shamble,PP_WHPP,0.01087,1
shamble,SCOMP,0.02174,2
shamble,VPING,0.01087,1
conjure,AP,0.005175,4
conjure,NONE,0.12419100000000001,96
conjure,NP,0.45795600000000003,354
conjure,NP PRT +,0.028461,22
conjure,NP_AP,0.007762,6
conjure,NP_NP,0.069858,54
conjure,NP_NP PRT +,0.003881,3
conjure,NP_PP,0.128073,99
conjure,NP_PPOF,0.012937,10
conjure,NP_PP_PP,0.007762,6
conjure,NP_SCOMP,0.021993,17
conjure,NP_SCOMP PRT +,0.002587,2
conjure,NP_WHPP,0.001294,1
conjure,PP,0.053041000000000005,41
conjure,PP_PP,0.002587,2
conjure,PP_SCOMP,0.002588,2
conjure,PP_VPINF,0.002587,2
conjure,PP_WHPP,0.001294,1
conjure,SCOMP,0.041398000000000004,32
conjure,SINF,0.003881,3
conjure,SING,0.005175,4
conjure,SING PRT +,0.003881,3
conjure,SING_PP,0.009056,7
conjure,VPINF,0.001294,1
conjure,VPPRT,0.001294,1
regularize,AP,0.003268,1
