verb,frame,relfreq,freqcnt
convolute,NONE,0.292958,104
convolute,NP,0.495775,176
convolute,PP,0.129577,46
convolute,SCOMP,0.08169,29
fawn,NONE,0.39603900000000003,80
fawn,NP,0.217822,44
fawn,PP,0.341584,69
fawn,PP_PP,0.034653,7
fawn,PP_WHVP,0.00495,1
fawn,SCOMP,0.00495,1
foul,NONE,0.437734,935
foul,NP,0.302903,647
foul,NP PRT +,0.009363,20
foul,NP_PP,0.068352,146
foul,PP,0.167135,357
foul,PP_PP,0.014513,31
prefix,NONE,0.341463,56
prefix,NP,0.189024,31
prefix,NP_PP,0.07926799999999999,13
prefix,NP_SCOMP,0.091463,15
prefix,PP,0.067073,11
prefix,PP_VPINF,0.006098,1
prefix,SCOMP,0.22561,37
forgather,NONE,1.0,4
preface,NP,0.377551,37
preface,NP PRT +,0.061224,6
preface,NP_PP,0.530612,52
preface,NP_WHPP,0.020408,2
preface,PP_WHPP,0.010204,1
underachieve,NONE,0.560897,175
underachieve,NP,0.278846,87
underachieve,NP_NP,0.00641,2
underachieve,PP,0.153846,48
shamble,NONE,0.408451,29
shamble,PP,0.577465,41
shamble,PP_WHPP,0.014085,1
conjure,NONE,0.15873,90
conjure,NP,0.597884,339
conjure,NP PRT +,0.038801,22
conjure,NP_PP,0.130511,74
conjure,PP,0.061728,35
conjure,SING_PP,0.012346,7
regularize,NONE,0.165094,35
regularize,NP,0.603774,128
regularize,NP_NP,0.009434,2
regularize,NP_PP,0.183962,39
regularize,SING,0.037736,8
chatter,NONE,0.601583,228
chatter,NP_PP,0.010554,4
chatter,PP,0.361478,137
chatter,PP_AP,0.005277,2
chatter,PP_PP,0.021108,8
rouse,NP,0.693841,766
rouse,NP_PP,0.237319,262
rouse,PP,0.068841,76
scold,NONE,0.274021,77
scold,NP,0.512456,144
scold,NP_PP,0.21352300000000002,60
quadruple,NONE,0.305742,410
quadruple,NP,0.232662,312
quadruple,NP_AP PRT +,0.002237,3
quadruple,NP_PP,0.054437,73
quadruple,NP_SCOMP,0.002237,3
quadruple,PP,0.334825,449
quadruple,PP_PP,0.06786,91
outwit,NP,0.835694,295
outwit,NP_PP,0.161473,57
outwit,SCOMP,0.002833,1
tingle,NONE,0.491667,118
tingle,NP,0.120833,29
tingle,NP_NP,0.008333,2
tingle,NP_PP,0.0125,3
tingle,PP,0.358334,86
tingle,PP_PP,0.008333,2
sputter,NONE,0.647186,598
sputter,NP,0.098485,91
sputter,PP,0.222943,206
sputter,PP_PP,0.028139,26
sputter,PP_WHPP,0.003247,3
lord,NONE,0.152493,52
lord,NP,0.187683,64
lord,NP_PP,0.134898,46
lord,PP,0.375367,128
lord,PP_PP,0.049853,17
lord,VPINF,0.099707,34
swivel,NONE,0.331731,69
swivel,NP,0.197115,41
swivel,NP PRT +,0.024038,5
swivel,NP_PP,0.076923,16
swivel,PP,0.293269,61
swivel,VPINF,0.076923,16
bellyache,NONE,0.444444,12
bellyache,NP,0.296296,8
bellyache,PP,0.111111,3
bellyache,SCOMP,0.111111,3
bellyache,VPPRT,0.037037,1
stipulate,NP,0.125975,646
stipulate,NP_PP,0.147621,757
stipulate,PP,0.13436,689
stipulate,PP_PP,0.0117,60
stipulate,SCOMP,0.580344,2976
pigment,NONE,0.196319,32
pigment,NP,0.404908,66
pigment,NP PRT +,0.01227,2
pigment,NP_NP_SCOMP,0.01227,2
pigment,NP_PP,0.104295,17
pigment,PP,0.104294,17
pigment,SCOMP,0.147239,24
pigment,VPBSE,0.018405,3
befoul,NONE,0.175,7
befoul,NP,0.525,21
befoul,NP_PP,0.225,9
befoul,NP_PP_PP,0.05,2
befoul,PP_PP,0.025,1
yellow,NONE,0.544872,85
yellow,NP,0.423077,66
yellow,NP_PP,0.032051,5
unify,NP,0.753664,1594
unify,NP_PP,0.246336,521
disturb,NP,0.735754,3667
disturb,NP_PP,0.254013,1266
disturb,PP_PP,0.010233,51
prize,NONE,0.124615,81
prize,NP,0.26,169
prize,NP_PP,0.364616,237
prize,PP,0.215385,140
prize,PP_PP,0.035385,23
buttonhole,NP,0.682692,71
buttonhole,NP_NP_SCOMP,0.009615,1
buttonhole,NP_PP,0.288462,30
buttonhole,NP_WHPP,0.009615,1
buttonhole,SCOMP,0.009615,1
understock,NONE,0.5,8
understock,NP,0.3125,5
understock,PP,0.125,2
understock,VPINF,0.0625,1
disburden,NP,1.0,3
fritter,NONE,0.120253,38
fritter,NP,0.06962,22
fritter,NP PRT +,0.088608,28
fritter,NP_PP,0.031646,10
fritter,NP_PP PRT +,0.164557,52
fritter,PP,0.503165,159
fritter,PP_PP,0.022152,7
orientate,NONE,0.212687,57
orientate,NP,0.514925,138
orientate,NP_PP,0.182836,49
orientate,NP_SCOMP,0.007463,2
orientate,PP,0.074627,20
orientate,PP_WHPP,0.007463,2
