verb,frame,relfreq,freqcnt
convolute,NP,0.495775,176
convolute,NONE,0.292958,104
convolute,PP,0.129577,46
convolute,SCOMP,0.08169,29
fawn,PP,0.344997,69
fawn,NONE,0.344997,69
fawn,NP,0.219998,44
fawn,NONE,0.054999,11
fawn,PP_PP,0.034999,7
fawn,VPING,1e-05,0
foul,NONE,0.444172,935
foul,NP,0.307358,647
foul,PP,0.169593,357
foul,NP_PP,0.069357,146
foul,NP PRT +,0.009501,20
foul,NONE,1e-05,0
foul,NONE,1e-05,0
prefix,NONE,0.322982,52
prefix,SCOMP,0.229814,37
prefix,NP,0.192546,31
prefix,NP_SCOMP,0.093167,15
prefix,PP,0.068323,11
prefix,NP_PP,0.068323,11
prefix,NONE,0.024845,4
forgather,NONE,0.99998,4
forgather,NONE,1e-05,0
forgather,NONE,1e-05,0
preface,NP_PP,0.531245,51
preface,NP,0.385413,37
preface,NP PRT +,0.062499,6
preface,NP_WHPP,0.020833,2
preface,SING,1e-05,0
underachieve,NONE,0.570033,175
underachieve,NP,0.283387,87
underachieve,PP,0.14658,45
shamble,PP,0.377749,41
shamble,NONE,0.297745,29
shamble,NP,0.098416,0
shamble,NP,0.034579,0
shamble,NP_PP,0.037238,0
shamble,NONE,0.050537,0
shamble,NP,0.029259,0
shamble,PP,0.042558,0
shamble,PP_PP,0.031918,0
conjure,NP,0.503603,339
conjure,NONE,0.131737,90
conjure,NP_PP,0.181208,74
conjure,PP,0.042801,35
conjure,NP PRT +,0.023901,22
conjure,NP_PP,0.058365,0
conjure,PP,0.023346,0
conjure,SINF,0.035018,0
conjure,SINF,1e-05,0
conjure,NONE,1e-05,0
regularize,NP,0.609524,128
regularize,NP_PP,0.185714,39
regularize,NONE,0.166666,35
regularize,SING,0.038095,8
chatter,NONE,0.42156,228
chatter,PP,0.23059,137
chatter,NP_PP,0.023315,4
chatter,SCOMP,0.026493,0
chatter,NP,0.158956,0
chatter,NONE,0.066232,0
chatter,NP,0.039739,0
chatter,PP,0.033115,0
rouse,NP,0.695079,766
rouse,NP_PP,0.237743,262
rouse,PP,0.067149,74
rouse,NONE,1e-05,0
rouse,NONE,1e-05,0
rouse,SINF,1e-05,0
scold,NP,0.477102,144
scold,NONE,0.138444,77
scold,NP_PP,0.110659,34
scold,NP_PP,0.179935,26
scold,NP_PP,0.00494,0
scold,NP_PP,0.074101,0
scold,PP,0.01482,0
quadruple,PP,0.329296,435
quadruple,NONE,0.310371,410
quadruple,NP,0.236184,312
quadruple,PP_PP,0.068887,91
quadruple,NP_PP,0.055261,73
outwit,NP,0.562296,295
outwit,NP_PP,0.178223,57
outwit,NP,0.025948,0
outwit,NONE,0.051896,0
outwit,NP,0.025948,0
outwit,NP_PP,0.025948,0
outwit,PP,0.025948,0
outwit,NONE,0.025948,0
outwit,NP,0.025948,0
outwit,PP,0.051896,0
tingle,NONE,0.517544,118
tingle,PP,0.355263,81
tingle,NP,0.127193,29
sputter,NONE,0.672666,598
sputter,PP,0.224972,200
sputter,NP,0.102362,91
lord,PP,0.374631,127
lord,NP,0.18879,64
lord,NONE,0.153393,52
lord,NP_PP,0.132744,45
lord,VPINF,0.100295,34
lord,PP_PP,0.050147,17
swivel,NONE,0.331728,69
swivel,PP,0.283651,59
swivel,NP,0.197113,41
swivel,NP_PP,0.076922,16
swivel,VPINF,0.076922,16
swivel,NP PRT +,0.024038,5
swivel,PP,0.009615,2
swivel,PP,1e-05,0
bellyache,NONE,0.444444,12
bellyache,NP,0.296296,8
bellyache,PP,0.111111,3
bellyache,SCOMP,0.111111,3
bellyache,VPPRT,0.037037,1
stipulate,SCOMP,0.116424,1559
stipulate,SCOMP,0.068486,964
stipulate,NP_PP,0.172788,757
stipulate,PP,0.088192,683
stipulate,NP,0.334914,646
stipulate,SCOMP,0.049184,453
stipulate,NONE,0.051004,0
stipulate,NP_PP,0.119008,0
pigment,NP,0.423077,66
pigment,NONE,0.205128,32
pigment,SCOMP,0.153846,24
pigment,PP,0.108974,17
pigment,NP_PP,0.083334,13
pigment,NP_PP,0.025641,4
befoul,NP,0.525,21
befoul,NP_PP,0.225,9
befoul,NONE,0.125,5
befoul,NP_PP_PP,0.05,2
befoul,NONE,0.05,2
befoul,PP_PP,0.025,1
yellow,NONE,0.544872,85
yellow,NP,0.423077,66
yellow,NP_PP,0.032051,5
unify,NP,0.43559,1594
unify,NP_PP,0.239349,521
unify,NONE,0.083153,0
unify,NONE,0.098271,0
unify,NONE,0.022678,0
unify,PP,0.120949,0
unify,NP_PP,1e-05,0
disturb,NP,0.530908,3667
disturb,NP_PP,0.189918,1266
disturb,SINF,0.04434,0
disturb,NONE,0.04434,0
disturb,NP_SCOMP,0.062403,0
disturb,NP,0.068972,0
disturb,NP,0.059119,0
prize,NP,0.373753,169
prize,NP_PP,0.144868,156
prize,PP,0.095878,140
prize,NONE,0.090863,81
prize,NP_PP,0.032447,60
prize,SCOMP,0.060505,0
prize,VPING,0.073952,0
prize,VPING,0.026892,0
prize,NP_PP,0.04706,0
prize,SING,0.006723,0
prize,NP,0.006723,0
prize,SING,0.040337,0
buttonhole,NP,0.612046,71
buttonhole,NP_PP,0.20398,30
buttonhole,NONE,0.091987,0
buttonhole,NP,0.061325,0
buttonhole,PP,0.030662,0
understock,NONE,0.5,8
understock,NP,0.1875,3
understock,NP,0.125,2
understock,PP,0.125,2
understock,VPINF,0.0625,1
disburden,NP,0.99999,3
disburden,NP_PP,1e-05,0
fritter,PP,0.196002,159
fritter,NP_PP PRT +,0.09374,52
fritter,NONE,0.08036,38
fritter,NP PRT +,0.158888,28
fritter,NP,0.153154,22
fritter,NP_PP,0.097643,10
fritter,NONE,0.132128,0
fritter,PP,0.088085,0
orientate,NP,0.524714,138
orientate,NONE,0.216731,57
orientate,NP_PP,0.186312,49
orientate,PP,0.072244,19
